biome,namespace,outcome,profile,mineral_mix,priority,petroleum
biomesoplenty:aspen_glade,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:auroral_garden,biomesoplenty,specialized,certus,immersive_ore_expedition:mineral/certus,rare_allowlist,
biomesoplenty:bayou,biomesoplenty,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomesoplenty:bog,biomesoplenty,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomesoplenty:cold_desert,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:coniferous_forest,biomesoplenty,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomesoplenty:crag,biomesoplenty,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
biomesoplenty:crystalline_chasm,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:dead_forest,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:dryland,biomesoplenty,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
biomesoplenty:dune_beach,biomesoplenty,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
biomesoplenty:end_corruption,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:end_reef,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:end_wilds,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:erupting_inferno,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:field,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:fir_clearing,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:floodplain,biomesoplenty,aquatic,alluvial_sift,immersiveengineering:mineral/alluvial_sift,aquatic,aquifer
biomesoplenty:forested_field,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:fungal_jungle,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:glowing_grotto,biomesoplenty,specialized,diamond,immersive_ore_expedition:mineral/diamond,rare_allowlist,
biomesoplenty:grassland,biomesoplenty,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
biomesoplenty:gravel_beach,biomesoplenty,aquatic,silt,immersiveengineering:mineral/silt,aquatic,aquifer
biomesoplenty:highland,biomesoplenty,specialized,iron,immersive_ore_expedition:mineral/iron,curated_profile,
biomesoplenty:hot_springs,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:jacaranda_glade,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:jade_cliffs,biomesoplenty,specialized,emerald,immersive_ore_expedition:mineral/emerald,rare_allowlist,
biomesoplenty:lavender_field,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:lush_desert,biomesoplenty,specialized,coal,immersive_ore_expedition:mineral/coal,curated_profile,oil
biomesoplenty:lush_savanna,biomesoplenty,specialized,aluminum,immersive_ore_expedition:mineral/aluminum,curated_profile,
biomesoplenty:maple_woods,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:marsh,biomesoplenty,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomesoplenty:mediterranean_forest,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:moor,biomesoplenty,specialized,lapis,immersive_ore_expedition:mineral/lapis,curated_profile,
biomesoplenty:muskeg,biomesoplenty,specialized,silver,immersive_ore_expedition:mineral/silver,curated_profile,
biomesoplenty:mystic_grove,biomesoplenty,specialized,entroized_fluix,immersive_ore_expedition:mineral/entroized_fluix,rare_allowlist,
biomesoplenty:old_growth_dead_forest,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:old_growth_woodland,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:ominous_woods,biomesoplenty,specialized,uranium,immersive_ore_expedition:mineral/uranium,curated_profile,
biomesoplenty:orchard,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:origin_valley,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:overgrown_greens,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:pasture,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:prairie,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:pumpkin_patch,biomesoplenty,generic_ie,,immersiveengineering:generic_by_recipe,generic,
biomesoplenty:rainforest,biomesoplenty,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomesoplenty:redwood_forest,biomesoplenty,specialized,nickel,immersive_ore_expedition:mineral/nickel,curated_profile,
biomesoplenty:rocky_rainforest,biomesoplenty,specialized,copper,immersive_ore_expedition:mineral/copper,curated_profile,
biomesoplenty:rocky_shrubland,biomesoplenty,specialized,lead,immersive_ore_expedition:mineral/lead,curated_profile,
