quality,visual_family,abandoned_state,state_eligible,footprint,height,vanilla_block_count,domum_block_count,block_entity_count,container_count,mandatory_path_clear,shelter_entrance_clear,shaft_exit_clear,cross_chunk_writes,surface_ore_count,productive_reservation_change,deterministic_selection_key,measurement_status
DRY,TEMPERATE,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,WEATHERED,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,COLLAPSED,YES,9,4,94,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,FAILED_PROSPECTION,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,WEATHERED,YES,9,4,92,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,COLLAPSED,YES,9,4,96,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,FAILED_PROSPECTION,YES,9,4,92,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,WEATHERED,YES,9,4,92,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,COLLAPSED,YES,9,4,96,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,FAILED_PROSPECTION,YES,9,4,92,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,WEATHERED,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,COLLAPSED,YES,9,4,94,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,FAILED_PROSPECTION,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,WETLAND,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,WEATHERED,YES,9,4,93,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,COLLAPSED,YES,9,4,97,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,FAILED_PROSPECTION,YES,9,4,93,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,TROPICAL,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,ARID,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,ARID,WEATHERED,YES,9,4,91,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,ARID,COLLAPSED,YES,9,4,95,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,ARID,FAILED_PROSPECTION,YES,9,4,91,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,ARID,EVACUATED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,RECENTLY_ABANDONED,NO,9,4,,,,,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,NOT_APPLICABLE,NOT_ELIGIBLE,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,WEATHERED,YES,9,4,90,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
DRY,ROCKY,COLLAPSED,YES,9,4,94,0,0,0,YES,YES,YES,0,0,NONE,mix64(planSeed^ABANDONED_STATE_SELECTION_SALT)%3,STATIC_MODEL_UPPER_BOUND
