quality,visual_family,abandoned_state,rotation,width,depth,height_span,planned_writes,non_air_blocks,air_reservations,vanilla_block_entities,domum_block_entities,cross_chunk_writes,access_violations,hatch_collisions,measurement_status
DRY,TEMPERATE,WEATHERED,NONE,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,WEATHERED,CLOCKWISE_90,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,WEATHERED,CLOCKWISE_180,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,COLLAPSED,NONE,9,9,4,129,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,COLLAPSED,CLOCKWISE_90,9,9,4,129,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,COLLAPSED,CLOCKWISE_180,9,9,4,129,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,129,94,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,FAILED_PROSPECTION,NONE,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,TEMPERATE,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,120,90,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,WEATHERED,NONE,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,WEATHERED,CLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,WEATHERED,CLOCKWISE_180,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,COLLAPSED,NONE,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,COLLAPSED,CLOCKWISE_90,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,COLLAPSED,CLOCKWISE_180,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,FAILED_PROSPECTION,NONE,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,FAILED_PROSPECTION,CLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,FAILED_PROSPECTION,CLOCKWISE_180,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,CONIFER,FAILED_PROSPECTION,COUNTERCLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,WEATHERED,NONE,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,WEATHERED,CLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,WEATHERED,CLOCKWISE_180,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,WEATHERED,COUNTERCLOCKWISE_90,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,COLLAPSED,NONE,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,COLLAPSED,CLOCKWISE_90,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,COLLAPSED,CLOCKWISE_180,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,COLLAPSED,COUNTERCLOCKWISE_90,9,9,4,129,96,32,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
DRY,SNOWY,FAILED_PROSPECTION,NONE,9,9,4,120,92,28,0,0,0,0,0,STATIC_MODEL_UPPER_BOUND
