quality,visual_family,structure_state,coverage_seed,target_footprint,placed_footprint,max_height,loot_containers,max_domum_block_entities,vegetation_accents,raised_shelter,vanilla_fallback,surface_ore_blocks,biome_shelter_geometry
DRY,TEMPERATE,ABANDONED,0x0,9,9,4,0,0,2,no,yes,0,open_baseline
DRY,TEMPERATE,COLLAPSED,0x2,9,9,4,0,0,2,no,yes,0,open_baseline
DRY,CONIFER,ABANDONED,0x1,9,9,4,0,0,2,no,yes,0,two_sided_windbreak_and_log_reserve
DRY,CONIFER,COLLAPSED,0x0,9,9,4,0,0,2,no,yes,0,two_sided_windbreak_and_log_reserve
DRY,SNOWY,ABANDONED,0x0,9,9,4,0,0,2,no,yes,0,rear_windbreak_and_covered_log_cache
DRY,SNOWY,COLLAPSED,0x1,9,9,4,0,0,2,no,yes,0,rear_windbreak_and_covered_log_cache
DRY,WETLAND,ABANDONED,0x1,9,9,4,0,0,2,yes,yes,0,raised_stable_deck
DRY,WETLAND,COLLAPSED,0x0,9,9,4,0,0,2,yes,yes,0,raised_stable_deck
DRY,TROPICAL,ABANDONED,0x2,9,9,4,0,0,3,yes,yes,0,raised_ventilated_lattice
DRY,TROPICAL,COLLAPSED,0x0,9,9,4,0,0,3,yes,yes,0,raised_ventilated_lattice
DRY,ARID,ABANDONED,0x0,9,9,4,0,0,1,no,yes,0,upper_shade_valance
DRY,ARID,COLLAPSED,0x1,9,9,4,0,0,1,no,yes,0,upper_shade_valance
DRY,ROCKY,ABANDONED,0x0,9,9,4,0,0,1,no,yes,0,paired_vertical_rock_anchors
DRY,ROCKY,COLLAPSED,0x4,9,9,4,0,0,1,no,yes,0,paired_vertical_rock_anchors
DRY,VOLCANIC,ABANDONED,0x4,9,9,4,0,0,0,no,yes,0,compact_stone_screen_and_gear_plinth
DRY,VOLCANIC,COLLAPSED,0x0,9,9,4,0,0,0,no,yes,0,compact_stone_screen_and_gear_plinth
POOR,TEMPERATE,WEATHERED,0x0,11,11,5,1,7,2,no,yes,0,open_baseline
POOR,TEMPERATE,ABANDONED,0x2,11,11,5,1,7,2,no,yes,0,open_baseline
POOR,CONIFER,WEATHERED,0x0,11,11,5,1,7,2,no,yes,0,two_sided_windbreak_and_log_reserve
POOR,CONIFER,ABANDONED,0x1,11,11,5,1,7,2,no,yes,0,two_sided_windbreak_and_log_reserve
POOR,SNOWY,WEATHERED,0x1,11,11,5,1,7,2,no,yes,0,rear_windbreak_and_covered_log_cache
POOR,SNOWY,ABANDONED,0x0,11,11,5,1,7,2,no,yes,0,rear_windbreak_and_covered_log_cache
POOR,WETLAND,WEATHERED,0x1,11,11,5,1,7,2,yes,yes,0,raised_stable_deck
POOR,WETLAND,ABANDONED,0x0,11,11,5,1,7,2,yes,yes,0,raised_stable_deck
POOR,TROPICAL,WEATHERED,0x0,11,11,5,1,7,3,yes,yes,0,raised_ventilated_lattice
