quality,visual_family,narrative_state,audit_seed,rotation,target_footprint,placed_footprint,max_height,placed_height_span,block_count,non_air_block_count,block_entity_count_vanilla,block_entity_count_with_domum,domum_material_block_entity_count,container_count,min_relative_x,max_relative_x,min_relative_y,max_relative_y,min_relative_z,max_relative_z,footprint_x,footprint_z,cross_chunk_writes,measurement_status,shelter_shell_block_count,domum_share_of_shelter_shell_percent,biome_geometry_block_count
DRY,TEMPERATE,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,113,83,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,21,0.00,0
DRY,CONIFER,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,113,85,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,23,0.00,2
DRY,SNOWY,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,113,85,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,23,0.00,2
DRY,WETLAND,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,115,83,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,15,0.00,0
DRY,TROPICAL,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,117,86,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,16,0.00,1
DRY,ARID,COLLAPSED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,113,84,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,22,0.00,1
DRY,ROCKY,ABANDONED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,111,83,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,23,0.00,2
DRY,VOLCANIC,COLLAPSED,0x51A7E5EED,CLOCKWISE_180,9,9,4,4,111,83,1,1,0,0,-4,4,-1,2,-4,4,9,9,0,STATIC_COMPOSER_MODEL,23,0.00,2
POOR,TEMPERATE,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,144,106,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,31,22.58,0
POOR,CONIFER,ABANDONED,0x51A7E5EED,CLOCKWISE_180,11,11,5,5,144,109,2,9,7,1,-5,5,-1,3,-5,5,11,11,0,STATIC_COMPOSER_MODEL,34,20.59,3
